edge_id,timestamp_i,timestamp_j,correspondence_success,correspondence_failure_reason,detector_type,keypoint_count_i,keypoint_count_j,raw_match_count,filtered_match_count,inlier_match_count,inlier_ratio,median_match_displacement,p90_match_displacement,match_angle_median,match_angle_dispersion,parallax_proxy,low_parallax_flag,near_static_flag,image_difference_mean,image_difference_p90,flow_success,flow_failure_reason,tracked_point_count,valid_flow_count,median_flow_magnitude,p90_flow_magnitude,flow_angle_median,flow_angle_dispersion,forward_backward_flow_consistency,gt_tmag
233,1745407696.627743,1745407696.678262,True,,ORB,1180,1176,1180,998,998,1.0,0.0,1.20001220703125,0.0,12.344939231872559,0.06470565438270569,False,True,0.0065214079804718494,0.019607843831181526,True,,600,600,0.06558005511760712,2.4448041915893555,18.347225189208984,80.55615997314453,0.9866666666666667,0.0029273563567833384
234,1745407696.678262,1745407696.728356,True,,ORB,1176,1173,1176,994,994,1.0,0.0,1.199981689453125,0.0,15.383340835571289,0.07104460242510642,False,True,0.006758713163435459,0.019607843831181526,True,,596,596,0.07128380984067917,2.610373020172119,10.685319900512695,88.8166732788086,0.9966442953020134,0.004658683071700391
235,1745407696.728356,1745407696.779065,True,,ORB,1173,1175,1173,1037,1029,0.9922854387656702,0.0,1.0,0.0,9.917122840881348,0.000450223229418043,True,True,0.0029104244895279408,0.007843137718737125,True,,600,600,0.0004509748541750014,0.9284864068031311,0.0,51.30539321899414,0.9983333333333333,0.002015297040763142
236,1745407696.779065,1745407696.829321,True,,ORB,1175,1178,1175,917,917,1.0,0.0,1.44000244140625,0.0,19.515274047851562,0.2973659315635528,False,True,0.01052684523165226,0.0313725508749485,True,,600,598,0.2998732328414917,4.477342128753662,18.526405334472656,88.54551696777344,0.9916387959866221,0.004822589127828726
237,1745407696.829321,1745407696.880037,True,,ORB,1178,1178,1178,1178,1178,1.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,0.0,True,,599,599,0.0,0.0,0.0,0.0,1.0,0.002193124579088173
238,1745407696.880037,1745407696.930159,True,,ORB,1178,1177,1178,882,851,0.9648526077097506,0.0,2.0,0.0,31.370071411132812,0.7497640397636388,False,False,0.013475682586431503,0.03921568766236305,True,,599,598,0.7548129558563232,5.118234157562256,26.76055908203125,83.39722442626953,0.9933110367892977,0.0043875640188751
239,1745407696.930159,1745407696.980212,True,,ORB,1177,1177,1177,1177,1177,1.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,0.0,True,,600,600,0.0,0.0,0.0,0.0,1.0,0.0034997465468763313
240,1745407696.980212,1745407697.031032,True,,ORB,1177,1176,1177,931,906,0.9731471535982814,0.0,1.6970627307891846,0.0,25.2105655670166,0.5606393762429556,False,True,0.012008924037218094,0.03529411926865578,True,,600,600,0.5625144243240356,4.1036696434021,20.28329086303711,85.13015747070312,0.9966666666666667,0.0020614248046870475
241,1745407697.031032,1745407697.081175,True,,ORB,1176,1176,1176,1071,1071,1.0,0.0,0.0,0.0,7.543575286865234,0.0003383266421345373,True,True,0.0028429075609892607,0.007843137718737125,True,,600,600,0.000342898623785004,0.8262991905212402,0.0,52.6362419128418,0.9866666666666667,0.002972950265580511
242,1745407697.081175,1745407697.131989,True,,ORB,1176,1176,1176,958,924,0.964509394572025,0.0,1.697052001953125,0.0,19.219736099243164,0.33751883308092756,False,True,0.011509861797094345,0.03529411926865578,True,,600,600,0.3438222408294678,5.33652925491333,25.323692321777344,87.37171173095703,0.9816666666666667,0.004734443967197701
243,1745407697.131989,1745407697.182215,True,,ORB,1176,1178,1176,1005,985,0.9800995024875622,0.0,1.4142135381698608,0.0,11.117288589477539,0.06170583010117876,False,True,0.008033834397792816,0.0235294122248888,True,,600,599,0.06286019086837769,3.248727798461914,15.095016479492188,81.90746307373047,0.9816360601001669,0.002123657412307372
244,1745407697.182215,1745407697.232426,True,,ORB,1178,1175,1178,1013,1013,1.0,0.0,1.0,0.0,13.73562240600586,0.04769068487729833,False,True,0.006278321146965027,0.019607843831181526,True,,594,593,0.047933179885149,3.1761746406555176,0.0,84.47830200195312,0.9949409780775716,0.0035183735778629385
245,1745407697.232426,1745407697.282588,True,,ORB,1175,1181,1175,924,899,0.9729437229437229,0.0,1.9191960096359253,0.0,26.581758499145508,0.6505927287538846,False,True,0.014490828849375248,0.04313725605607033,True,,600,600,0.6516788601875305,5.293290138244629,17.64651107788086,83.04156494140625,0.9983333333333333,0.00221125119303817
246,1745407697.282588,1745407697.332648,True,,ORB,1181,1181,1181,1181,1181,1.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,0.0,True,,600,600,0.0,0.0,0.0,0.0,1.0,0.0018713357501178186
247,1745407697.332648,1745407697.383224,True,,ORB,1181,1181,1181,963,926,0.9615784008307373,0.0,1.44000244140625,0.0,23.172483444213867,0.4590304493904114,False,True,0.011864641681313515,0.03529411926865578,True,,600,600,0.4590304493904114,3.8093454837799072,18.282075881958008,85.2405776977539,1.0,0.0039008543668061033
248,1745407697.383224,1745407697.433259,True,,ORB,1181,1181,1181,1038,1038,1.0,0.0,1.1999969482421875,0.0,10.216893196105957,0.028715230946739514,False,True,0.006491000764071941,0.019607843831181526,True,,600,600,0.028811268508434296,2.6740264892578125,25.37063217163086,78.01007843017578,0.9966666666666667,0.0043431508106509765
249,1745407697.433259,1745407697.483945,True,,ORB,1181,1183,1181,1010,990,0.9801980198019802,0.0,1.1999542713165283,0.0,13.16358470916748,0.06355936918563158,False,True,0.00689573772251606,0.019607843831181526,True,,600,599,0.0637722983956337,2.6870555877685547,22.112438201904297,91.98998260498047,0.996661101836394,0.0034435677840393155
250,1745407697.483945,1745407697.534078,True,,ORB,1183,1182,1183,952,952,1.0,0.0,1.6970618963241577,0.0,20.824586868286133,0.5369875236352285,False,True,0.012083698064088821,0.03529411926865578,True,,600,600,0.537883996963501,4.273406028747559,23.221189498901367,83.10336303710938,0.9983333333333333,0.002238619298844665
251,1745407697.534078,1745407697.584822,True,,ORB,1182,1182,1182,1170,1170,1.0,0.0,0.0,0.0,0.0491703525185585,0.0,True,True,0.0001228171167895198,0.0,True,,600,600,0.0,0.0009327619336545467,0.0,35.64832305908203,1.0,0.0025254351343045583
252,1745407697.584822,1745407697.6358,True,,ORB,1182,1182,1182,950,950,1.0,0.0,1.44000244140625,0.0,20.80238914489746,0.5234912733402793,False,True,0.012097523547708988,0.03529411926865578,True,,600,599,0.5243666768074036,4.335422039031982,23.555442810058594,85.40332794189453,0.998330550918197,0.0051320189881275576
253,1745407697.6358,1745407697.686558,True,,ORB,1182,1182,1182,1064,1064,1.0,0.0,0.0,0.0,8.24956226348877,0.006385731510818005,True,True,0.002854913705959916,0.007843137718737125,True,,600,600,0.006385731510818005,1.024295687675476,0.0,53.2277946472168,1.0,0.002470196381498741
254,1745407697.686558,1745407697.736767,True,,ORB,1182,1180,1182,983,961,0.9776195320447609,0.0,1.1999969482421875,0.0,14.992691993713379,0.2417726144194603,False,True,0.00995618849992752,0.0313725508749485,True,,600,600,0.24258121848106384,4.011702060699463,29.504825592041016,88.71654510498047,0.9966666666666667,0.0032805431505717217
255,1745407697.736767,1745407697.787374,True,,ORB,1180,1182,1180,937,937,1.0,0.0,1.6970454454421997,0.0,21.96733283996582,0.49102047984798747,False,True,0.012263843789696693,0.03529411926865578,True,,600,600,0.4918402135372162,4.364528179168701,22.87261390686035,85.20352172851562,0.9983333333333333,0.003641306829545154
256,1745407697.787374,1745407697.83759,True,,ORB,1182,1182,1182,1182,1182,1.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,0.0,True,,600,600,0.0,0.0,0.0,0.0,1.0,0.002880600697851736
257,1745407697.83759,1745407697.888261,True,,ORB,1182,1180,1182,962,962,1.0,0.0,1.44000244140625,0.0,19.937761306762695,0.5148390424251557,False,True,0.011942421086132526,0.03529411926865578,True,,600,600,0.5165609121322632,4.245847702026367,22.893415451049805,82.54991912841797,0.9966666666666667,0.004474479279027555
258,1745407697.888261,1745407697.938658,True,,ORB,1180,1180,1180,1180,1180,1.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,0.0,True,,600,600,0.0,0.0,0.0,0.0,1.0,0.0025634771086044308
